Player,Nation,Goals
Rory Delap,,23
Kieron Dyer,,23
Darren Fletcher,,23
Andre Gray,,23
Jack Harrison,England,23
Kai Havertz,Germany,23
Joleon Lescott,,23
James McArthur,,23
Szilard Nemeth,,23
Graziano Pellè,,23
Dan Petrescu,,23
Laurent Robert,,23
Jonjo Shelvey,,23
Gordon Watson,,23
Dean Ashton,,22
Dalian Atkinson,,22
Chris Bart-Williams,,22
Alen Boksic,,22
Michael Bridges,,22
Deon Burton,,22
Séamus Coleman,,22
Laurent Robert,,23
Jonjo Shelvey,,23
Gordon Watson,,23
Dean Ashton,,22
Dalian Atkinson,,22
Chris Bart-Williams,,22
Alen Boksic,,22
Michael Bridges,,22
Deon Burton,,22
Séamus Coleman,,22
Laurent Robert,,23
Jonjo Shelvey,,23
Gordon Watson,,23
Dean Ashton,,22
Dalian Atkinson,,22
Chris Bart-Williams,,22
Alen Boksic,,22
Michael Bridges,,22
Deon Burton,,22
Séamus Coleman,,22
Xherdan Shaqiri,,22
Lee Sharpe,,22
Dominic Solanke,England,22
André Ayew,,21
Mario Balotelli,,21
Nacer Chadli,,21
Rúben Neves,,21
Craig Dawson,England,21
Oscar,,21
Matthew Etherington,,21
Xherdan Shaqiri,,22
Lee Sharpe,,22
Dominic Solanke,England,22
André Ayew,,21
Mario Balotelli,,21
Nacer Chadli,,21
Rúben Neves,,21
Craig Dawson,England,21
Oscar,,21
Matthew Etherington,,21
Xherdan Shaqiri,,22
Lee Sharpe,,22
Dominic Solanke,England,22
André Ayew,,21
Mario Balotelli,,21
Nacer Chadli,,21
Rúben Neves,,21
Craig Dawson,England,21
Oscar,,21
Matthew Etherington,,21
Jorginho,Italy,21
David Ginola,,21
Stephen Hunt,,21
Robert Huth,,21
Chris Kiwomya,,21
Michael Ricketts,,21
John Arne Riise,,21
Paul Scharner,,21
Jeffrey Schlupp,Ghana,21
Steve Sidwell,,21
Jason Dozzell,,20
John Fashanu,,20
Stelios Giannakopoulos,,20
Alexander Isak,Sweden,20
Alex Iwobi,Nigeria,20
Matthew Jarvis,,20
Claus Jensen,,20
Collins John,,20
Ivan Klasnic,,20
Niko Kranjcar,,20
Bryan Mbeumo,Cameroon,20
James McFadden,,20
Luke Moore,,20
Victor Moses,,20
Alex Oxlade-Chamberlain,,20
Ray Parlour,,20
Roman Pavlyuchenko,,20
Stuart Pearce,,20
Michu,,20
Steven Pienaar,,20
Christian Pulisic,,20
Lucas Moura,,20
Fernandinho,,20
Tuncay Sanli,,20
Robbie Savage,,20
Dusan Tadic,,20
Patrick van Aanholt,,20
Danny Dichio,,19
Youri Djorkaeff,,19
Ugo Ehiogu,,19
Johan Elmander,,19
Ricardo Fuller,,19
Demarai Gray,,19
Mick Harford,,19
Craig Hignett,,19
Stephen Ireland,,19
Matt Jansen,,19
Steven Naismith,,19
Eddie Nketiah,England,19
Park Ji-Sung,,19
Garry Parker,,19
Lukas Podolski,,19
Tomas Rosicky,,19
Leonardo Ulloa,,19
Connor Wickham,,19
Boudewijn Zenden,,19
Nathan Aké,Netherlands,18
Joelinton,Brazil,18
David Bentley,,18
Fraizer Campbell,,18
Bobby De Cordova-Reid,Jamaica,18
Mohamed Diamé,,18
Nathan Dyer,,18
Eberechi Eze,England,18
Ryan Fraser,,18
Kevin Gallen,,18
Luis Garcia,,18
Dan Gosling,,18
Danny Graham,,18
Alf Inge Haaland,,18
Rodri,Spain,18
Hwang Hee-Chan,South Korea,18
Denis Irwin,,18
Phil Jagielka,,18
Vincent Kompany,,18
Massimo Maccarone,,18
Brian McClair,,18
Álvaro Negredo,,18
Diafra Sakho,,18
Mike Sheron,,18
Antoine Sibierski,,18
Yoane Wissa,DR Congo,18
Gilberto Silva,,17
Ryan Babel,,17
Michael Ballack,,17
Peter Beagrie,,17
Eyal Berkovic,,17
George Boateng,,17
Steven Davis,,17
Raphinha,,17
Odsonne Édouard,France,17
Michael Essien,,17
Zoltán Gera,,17
Keith Gillespie,,17
Matt Holland,,17
Zlatan Ibrahimovic,,17
Diomansy Kamara,,17
Arouna Koné,,17
Érik Lamela,,17
Frank Leboeuf,,17
Fernando Llorente,,17
Alexis Mac Allister,Argentina,17
Neil Maddison,,17
Scott McTominay,Scotland,17
Gavin Peacock,,17
Mark Pembridge,,17
Gary Penrice,,17
Ramires,,17
André Schürrle,,17
Douglas Luiz,Brazil,17
Gareth Southgate,,17
Sam Vokes,,17
Andreas Weimann,,17
Dean Windass,,17
Ian Woan,,17
Granit Xhaka,,17
Joe Allen,,16
Stuart Armstrong,,16
Francesco Baiano,,16
Fabio Borini,,16
Lee Carsley,,16
Scott Dann,,16
Leroy Fer,,16
Pablo Fornals,Spain,16
Junior Hoilett,,16
Odion Ighalo,,16
Joseph-Desire Job,,16
Hassan Kachloul,,16
Dwight McNeil,England,16
Álvaro Morata,,16
Darwin Núñez,Uruguay,16
Gary O'Neil,,16
Nicolas Pépé,,16
Roberto Pereyra,,16
Martin Petrov,,16
José Antonio Reyes,,16
Liam Ridgewell,,16
Wayne Routledge,,16
Neil Ruddock,,16
Christopher Samba,,16
Graeme Sharp,,16
Andy Sinton,,16
Moussa Sissoko,,16
Martin Skrtel,,16
Paul Walsh,,16
Julián Álvarez,Argentina,15
Simon Barker,,15
Michy Batshuayi,,15
Saïd Benrahma,Algeria,15
Jimmy Bullard,,15
Marouane Chamakh,,15
Ciaran Clark,,15
Ashley Cole,,15
Roberto Di Matteo,,15
Anwar El Ghazi,,15
Anthony Gordon,England,15
Michael Hughes,,15
Glen Johnson,,15
Ki Sung-Yeung,,15
Kevin Kilbane,,15
Dave Kitson,,15
Cheikhou Kouyaté,Senegal,15
Jim Magilton,,15
Shaun Maloney,,15
Gareth McAuley,,15
John McGinn,Scotland,15
Clinton Morrison,,15
Matt Oakley,,15
Carlton Palmer,,15
Arjen Robben,,15
Maxi Rodríguez,,15
Branko Strupar,,15
David Thompson,,15
Nemanja Vidic,,15
David Wetherall,,15
Abou Diaby,,14
Trent Alexander-Arnold,England,14
Xabi Alonso,,14
Taiwo Awoniyi,Nigeria,14
Lars Bohinen,,14
